status_code, message, timestamp
6, "The PRT is currently down at the Walnut Street station.", 2010/08/18 06:40:14
5, "PRT system is out of service to and from Health sciences center. Buses are running by the tennis court and cross walk next to towers to take people to Health Sciences", 2010/09/17 17:53:33
4, "The PRT is currently down.", 2010/08/26 09:31:40
5, "The prt is temporarily out of service from tow sta to beewal and eng stations", 2010/12/02 07:27:07
4, "The PRT is currently down.", 2010/09/04 17:20:31
5, "The PRT is currently down between Towers Engineering and Beechurst.  Buses are running Towers Engineering and Beechurst Stations.", 2010/09/10 10:09:44
5, "The prt is out of service @ all sta&#039;s busses will pick up @ the bottom of mtr sta outside of hos @ the crosswalk by the tennis courts outside of tow @ the turnarounds outside of eng and bee and @ the corner of walnut and chestnut streets outsideof wal", 2012/01/26 09:04:24
1, "The PRT is currently running on a normal schedule.", 2011/01/22 17:29:57
2, "The PRT is currently down between Engineering and Walnut Street.", 2010/11/09 11:58:56
5, "The prt is completely out of service busses are picking up at tne corner of wal and chestnut streets at the turnarounds outside of eng and bee at the crosswalk by the tennis courts outside of tow at the bottom of mtr sta outside of hos", 2011/04/25 09:53:55
2, "The PRT is currently down between Walnut Street and Beechurst.", 2012/02/27 08:33:20
2, "The PRT is currently down between Engineering and Beechurst.", 2011/01/18 12:23:48
5, "the prt is out of servive @ tow eng bee and wal busses will pick up @ the crosswalk by the tennis courts outside opf tow the turnarounds outside of eng and bee and @ the corner of walnut and chestnut streets outside of wal", 2012/01/09 11:14:12
5, "due to weather conditions the prt is falling in and out of service bus support is available at all stations.", 2010/12/16 12:32:57
2, "The PRT is currently down between Engineering and Beechurst.", 2011/05/23 07:48:15
5, "The PRT is down between Towers and Medical Stations also down between Walnut and Beechurst Stations. Buses are running currently between Medical and Towers stations.", 2010/09/16 14:34:08
6, "The PRT is currently down at the Engineering station.", 2012/01/13 09:30:24
6, "The PRT is currently down at the Health Sciences Center station.", 2010/09/17 21:15:57
5, "The prt is out of service troughout the system busses sre picking up @ the bottom of mtr sta outside of hos @ the crosswalk by the tennis courts outside of tow and @ the turnarounds outside of eng and bee and @ the corner of walnut and chestnut street", 2011/11/09 13:43:54
5, "prt out of service all stations/ busses are running at all stations.", 2011/02/01 14:21:54
2, "The PRT is currently down between Engineering and Walnut Street.", 2010/08/30 09:13:22
1, "The PRT is currently running on a normal schedule.", 2012/01/21 11:16:48
1, "The PRT is currently running on a normal schedule.", 2010/09/04 17:24:41
5, "beechurst out of service busses running", 2012/01/27 08:52:37
5, "prt is down to Beech Sta and Wal Sta from towers  Hosp and Eng stations", 2010/11/16 16:04:18
6, "The PRT is currently down at the Towers station.", 2012/02/28 07:22:16
1, "The PRT is currently running on a normal schedule.", 2012/02/27 08:33:32
1, "The PRT is currently running on a normal schedule.", 2010/09/10 16:00:38
1, "The PRT is currently running on a normal schedule.", 2012/01/31 11:42:47
6, "The PRT is currently down at the Health Sciences Center station.", 2010/09/16 21:48:33
1, "The PRT is currently running on a normal schedule.", 2011/02/21 15:05:10
1, "The PRT is currently running on a normal schedule.", 2011/01/10 14:39:48
1, "The PRT is currently running on a normal schedule.", 2011/01/27 10:20:24
5, "prt is out from hosp. towers and eng.running to beech. and walnut", 2012/02/03 07:14:57
